ID,alive,correct_AVE,correct_LIST,genomeLength,incorrect_AVE,incorrect_LIST,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_AVE,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_AVE,markovBrain_nodesConnections_LIST,optimizeValue,score_AVE,score_LIST,timeOfBirth,snapshotAncestors_LIST,update
0,1,27.000000,"27",5000,37.000000,"37",2,2,0.750000,"0,0,1,1,0,1,1,2",0.625000,"0,3,0,0,1,1,0,0",0.613913,0.613913,"0.613913",-1,"-1",0
1,1,28.000000,"28",5000,36.000000,"36",2,2,0.375000,"0,0,0,1,0,1,1,0",0.500000,"0,0,1,0,0,1,1,1",0.676839,0.676839,"0.676839",-1,"-1",0
2,1,27.000000,"27",5000,37.000000,"37",2,2,0.750000,"1,1,1,1,1,0,1,0",0.875000,"1,1,1,1,0,0,1,2",0.613913,0.613913,"0.613913",-1,"-1",0
3,1,28.000000,"28",5000,36.000000,"36",2,2,0.625000,"1,0,1,1,1,1,0,0",0.750000,"1,0,1,1,1,0,2,0",0.676839,0.676839,"0.676839",-1,"-1",0
4,1,27.000000,"27",5000,37.000000,"37",2,2,0.750000,"1,1,2,0,1,0,0,1",0.250000,"1,0,0,0,1,0,0,0",0.613913,0.613913,"0.613913",-1,"-1",0
5,1,28.000000,"28",5000,36.000000,"36",2,2,0.500000,"0,0,0,2,2,0,0,0",0.500000,"1,0,1,2,0,0,0,0",0.676839,0.676839,"0.676839",-1,"-1",0
6,1,28.000000,"28",5000,36.000000,"36",2,2,0.750000,"1,1,0,0,0,2,2,0",0.750000,"0,0,2,2,0,0,0,2",0.676839,0.676839,"0.676839",-1,"-1",0
7,1,29.000000,"29",5000,35.000000,"35",2,2,0.750000,"0,0,2,1,1,1,0,1",0.875000,"0,1,0,1,1,2,0,2",0.746215,0.746215,"0.746215",-1,"-1",0
8,1,28.000000,"28",5000,36.000000,"36",2,2,0.500000,"0,1,0,2,0,1,0,0",0.625000,"1,0,0,1,2,0,1,0",0.676839,0.676839,"0.676839",-1,"-1",0
9,1,31.000000,"31",5000,33.000000,"33",2,2,0.750000,"1,1,2,1,0,0,1,0",0.625000,"1,1,0,0,1,1,1,0",0.907029,0.907029,"0.907029",-1,"-1",0
10,1,29.000000,"29",5000,35.000000,"35",2,2,1.000000,"1,0,2,1,1,1,2,0",0.625000,"1,0,0,2,1,0,1,0",0.746215,0.746215,"0.746215",-1,"-1",0
11,1,28.000000,"28",5000,36.000000,"36",2,2,0.375000,"0,0,1,0,0,0,1,1",0.625000,"1,0,0,0,0,2,2,0",0.676839,0.676839,"0.676839",-1,"-1",0
12,1,28.000000,"28",5000,36.000000,"36",2,2,0.500000,"1,0,1,1,0,0,0,1",0.375000,"0,0,0,0,0,1,2,0",0.676839,0.676839,"0.676839",-1,"-1",0
13,1,29.000000,"29",5000,35.000000,"35",2,2,0.875000,"0,1,1,1,1,1,1,1",0.625000,"2,0,1,1,0,1,0,0",0.746215,0.746215,"0.746215",-1,"-1",0
