genomeLength_AVE,optimizeValue_AVE,score_AVE,score_VAR,update
5000.000000,1.810000,1.810000,1.731212,0
4990.390000,5.930000,5.930000,0.631414,10
4685.130000,6.770000,6.770000,0.663737,20
4665.160000,6.900000,6.900000,0.717172,30
4929.350000,7.410000,7.410000,1.193838,40
4960.830000,8.010000,8.010000,0.838283,50
4920.930000,8.170000,8.170000,0.687980,60
4911.400000,8.230000,8.230000,0.885960,70
4392.680000,8.110000,8.110000,1.189798,80
4743.590000,7.780000,7.780000,0.880404,90
4648.880000,8.170000,8.170000,1.253636,100
